1970,0.08
1971,0.08
1972,0.08
1973,0.07
1974,0.07
1975,0.07
1976,0.06
1977,0.06
1978,0.06
1979,0.05
1980,0.05
1981,0.05
1982,0.05
1983,0.05
1984,0.05
1985,0.04
1986,0.04
1987,0.04
1988,0.04
1989,0.04
1990,0.03
1991,0.03
1991,0.03
1992,0.03
1993,0.03
1994,0.02
1995,0.02
1996,0.02
1997,0.02
1998,0.02
1999,0.02
2000,0.02
2001,0.02
2002,0.02
2003,0.02
2004,0.02
2005,0.02
2006,0.02
2007,0.02
2008,0.02
2009,0.02
2010,0.02
2011,0.02
2012,0.02
2013,0.02
2014,0.01
2015,0.01
2016,0.01
2017,0.01
2018,0.01
2019,0.01
2020,0.01
2021,0.01
2022,0.01
